COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality
NOR,Norway,2009,1406.8,46005.86336,41342.0
NOR,Norway,2010,1415.3,46594.18608,41442.0
NOR,Norway,2011,1421.1,48180.02342,41304.0
NOR,Norway,2012,1419.7,49465.068510000005,41913.0
NOR,Norway,2013,1408.1,50448.61278,41178.0
NOR,Norway,2014,1426.9,50749.04262,40344.0
NOR,Norway,2015,1423.9,50994.10315,40686.0
NOR,Norway,2016,1424.4,50207.05948,40609.0
NOR,Norway,2017,1419.1,50412.12115,
NOR,Norway,2018,1416.4,50955.82984,
POL,Poland,2000,1863.0,20130.72981,368028.0
POL,Poland,2001,1865.0,21338.88471,363220.0
POL,Poland,2002,1860.0,21281.9734,359486.0
POL,Poland,2003,1865.0,21543.24416,365230.0
POL,Poland,2004,1866.0,21120.48418,363522.0
POL,Poland,2005,1861.0,21062.706309999998,368285.0
POL,Poland,2006,1862.0,21203.08404,369686.0
POL,Poland,2007,1859.0,21878.22485,377226.0
POL,Poland,2008,1852.0,23045.00996,379399.0
POL,Poland,2009,1838.0,22998.959069999997,384940.0
POL,Poland,2010,1834.0,23652.32651,378478.0
POL,Poland,2011,1829.0,23654.20807,375501.0
POL,Poland,2012,1824.0,23445.50559,384788.0
POL,Poland,2013,1821.0,23712.96247,387312.0
POL,Poland,2014,1827.0,24195.84838,376467.0
POL,Poland,2015,1834.0,24726.12542,394921.0
POL,Poland,2016,1836.0,25956.36995,388009.0
POL,Poland,2017,1815.0,27057.957089999996,
POL,Poland,2018,1792.0,29109.043760000004,
PRT,Portugal,2000,1760.0,26532.458319999998,105813.0
PRT,Portugal,2001,1745.0,26648.67269,105582.0
PRT,Portugal,2002,1739.0,26635.800730000003,106690.0
PRT,Portugal,2003,1733.0,26566.29442,109148.0
PRT,Portugal,2004,1738.0,26612.11692,
PRT,Portugal,2005,1740.0,26458.86261,
PRT,Portugal,2006,1729.0,25886.15108,
PRT,Portugal,2007,1745.0,26068.63225,103888.0
PRT,Portugal,2008,1733.0,25983.93756,104768.0
PRT,Portugal,2009,1733.0,27184.23325,104964.0
PRT,Portugal,2010,1735.0,27080.30185,106241.0
PRT,Portugal,2011,1714.0,26436.50017,103200.0
PRT,Portugal,2012,1698.0,25294.18881,107969.0
PRT,Portugal,2013,1707.0,25813.87846,106875.0
PRT,Portugal,2014,1714.0,25360.07583,105219.0
PRT,Portugal,2015,1722.0,25307.314619999997,108922.0
PRT,Portugal,2016,1725.0,25349.78641,110970.0
PRT,Portugal,2017,1727.0,25288.7215,
PRT,Portugal,2018,1722.0,25487.0637,
SVK,Slovak Republic,2000,1816.0,16080.05696,52724.0
SVK,Slovak Republic,2001,1801.0,16068.70649,51980.0
SVK,Slovak Republic,2002,1754.0,16913.183080000003,51532.0
SVK,Slovak Republic,2003,1698.0,17281.80747,52230.0
SVK,Slovak Republic,2004,1742.0,17565.86376,51852.0
SVK,Slovak Republic,2005,1769.0,18706.24278,53475.0
SVK,Slovak Republic,2006,1774.0,19326.07933,53301.0
SVK,Slovak Republic,2007,1791.0,20514.387319999998,53856.0
SVK,Slovak Republic,2008,1793.0,20718.301330000002,53164.0
SVK,Slovak Republic,2009,1780.0,21416.45177,52913.0
SVK,Slovak Republic,2010,1805.0,22359.7881,53445.0
SVK,Slovak Republic,2011,1793.0,22161.14524,
SVK,Slovak Republic,2012,1789.0,21916.80509,52437.0
SVK,Slovak Republic,2013,1772.0,22082.48241,52084.0
SVK,Slovak Republic,2014,1760.0,22510.86712,51345.0
SVK,Slovak Republic,2015,1754.0,23343.97434,
SVK,Slovak Republic,2016,1740.0,24053.05324,
SVK,Slovak Republic,2017,1714.0,24719.50495,
SVK,Slovak Republic,2018,1698.0,25356.68229,
ESP,Spain,2000,1752.8,37250.03769,360391.0
ESP,Spain,2001,1762.5,37242.04997,360131.0
ESP,Spain,2002,1764.6,37517.034569999996,368618.0
ESP,Spain,2003,1755.9,37415.83617,384828.0
ESP,Spain,2004,1741.5,37029.534889999995,371934.0
ESP,Spain,2005,1725.6,37244.82515,387355.0
ESP,Spain,2006,1715.7,37103.76026,371478.0
ESP,Spain,2007,1703.5,37589.70751,385361.0
ESP,Spain,2008,1712.6,39102.30648,386324.0
ESP,Spain,2009,1719.7,41750.911060000006,384933.0
ESP,Spain,2010,1710.4,41034.3406,382047.0
ESP,Spain,2011,1715.5,40452.8193,387911.0
ESP,Spain,2012,1701.2,39301.60485,402950.0
ESP,Spain,2013,1693.5,39391.29533,390419.0
ESP,Spain,2014,1694.6,39397.76735,395830.0
ESP,Spain,2015,1699.6,40087.62768,422568.0
ESP,Spain,2016,1701.5,39860.34697,410611.0
ESP,Spain,2017,1690.2,39073.25047,
ESP,Spain,2018,1701.0,38761.18457,
SWE,Sweden,2000,1500.0,33964.421330000005,93516.0
SWE,Sweden,2001,1478.0,34287.2197,93808.0
SWE,Sweden,2002,1457.0,34808.21921,95071.0
SWE,Sweden,2003,1445.0,35240.4934,93003.0
SWE,Sweden,2004,1467.0,36310.77872,91079.0
SWE,Sweden,2005,1466.0,37018.852269999996,91775.0
SWE,Sweden,2006,1461.0,37913.35899,91271.0
SWE,Sweden,2007,1472.0,39137.0877,91820.0
SWE,Sweden,2008,1477.0,39678.830310000005,91542.0
SWE,Sweden,2009,1470.0,39938.31212,90177.0
SWE,Sweden,2010,1494.0,40175.42479,90519.0
SWE,Sweden,2011,1491.0,40680.56341,89941.0
SWE,Sweden,2012,1478.0,41581.03568,91990.0
SWE,Sweden,2013,1470.0,42015.76064,90505.0
SWE,Sweden,2014,1470.0,42444.08578,89062.0
SWE,Sweden,2015,1471.0,43159.39234,91002.0
SWE,Sweden,2016,1482.0,43735.727419999996,91071.0
SWE,Sweden,2017,1470.0,43987.49039,
SWE,Sweden,2018,1474.0,44196.23945,
CHE,Switzerland,2000,1712.7,55854.0656,62545.0
CHE,Switzerland,2001,1672.8,57936.20704,61283.0
CHE,Switzerland,2002,1651.3,58837.58851,61768.0
CHE,Switzerland,2003,1664.5,58689.685620000004,63070.0
CHE,Switzerland,2004,1695.0,58182.125889999996,60180.0
CHE,Switzerland,2005,1690.0,59064.00909,61124.0
CHE,Switzerland,2006,1679.2,59430.940839999996,60283.0
CHE,Switzerland,2007,1668.9,60304.40854,61089.0
CHE,Switzerland,2008,1659.5,60629.724279999995,61233.0
CHE,Switzerland,2009,1650.8,61856.11395,62431.0
CHE,Switzerland,2010,1624.3,62002.87617,62649.0
CHE,Switzerland,2011,1619.3,62107.93486,62089.0
CHE,Switzerland,2012,1603.2,63207.26367000001,64173.0
CHE,Switzerland,2013,1582.9,64180.862389999995,64961.0
CHE,Switzerland,2014,1575.3,64284.54003,63863.0
CHE,Switzerland,2015,1589.5,64222.839420000004,67606.0
CHE,Switzerland,2016,1589.7,64063.942489999994,64964.0
CHE,Switzerland,2017,1570.0,63899.88385,
CHE,Switzerland,2018,1458.8,64108.550760000006,
TUR,Turkey,2000,1937.0,,
TUR,Turkey,2001,1942.0,,
TUR,Turkey,2002,1943.0,,
TUR,Turkey,2003,1943.0,,
TUR,Turkey,2004,1918.0,,
TUR,Turkey,2005,1936.0,,
TUR,Turkey,2006,1944.0,,
TUR,Turkey,2007,1911.0,,
TUR,Turkey,2008,1900.0,,
TUR,Turkey,2009,1881.0,,281504.0
TUR,Turkey,2010,1877.0,,294501.0
TUR,Turkey,2011,1864.22,,312249.0
TUR,Turkey,2012,1855.06,,320967.0
TUR,Turkey,2013,1832.0,,357533.0
TUR,Turkey,2014,1832.0,,383603.0
TUR,Turkey,2015,1832.0,,396971.0
GBR,United Kingdom,2000,1569.0,38908.207160000005,
GBR,United Kingdom,2001,1569.0,40839.518860000004,604393.0
GBR,United Kingdom,2002,1553.0,41517.1388,608045.0
GBR,United Kingdom,2003,1542.0,42651.94341,612085.0
GBR,United Kingdom,2004,1528.0,43662.678210000005,584791.0
GBR,United Kingdom,2005,1545.0,43597.24277,582964.0
GBR,United Kingdom,2006,1539.0,44590.06774,572224.0
GBR,United Kingdom,2007,1541.0,45881.92792,574687.0
GBR,United Kingdom,2008,1521.0,44679.452860000005,579697.0
GBR,United Kingdom,2009,1516.0,45455.230910000006,559617.0
GBR,United Kingdom,2010,1506.0,45526.55342,561666.0
GBR,United Kingdom,2011,1518.0,44375.68743,552232.0
GBR,United Kingdom,2012,1531.0,44006.8491,569024.0
GBR,United Kingdom,2013,1541.0,44141.38003,576458.0
GBR,United Kingdom,2014,1547.0,43782.31312,570341.0
GBR,United Kingdom,2015,1531.0,44125.736189999996,602781.0
GBR,United Kingdom,2016,1545.0,44465.81826,597204.0
GBR,United Kingdom,2017,1543.0,44589.7799,
GBR,United Kingdom,2018,1538.0,44770.049739999995,
USA,United States,2000,1832.0,53903.82146,2403351.0
USA,United States,2001,1811.0,54359.72283,2416425.0
USA,United States,2002,1806.0,54787.71284,2443387.0
USA,United States,2003,1796.0,55459.679860000004,2448288.0
USA,United States,2004,1798.0,56489.585979999996,2397615.0
USA,United States,2005,1794.0,56556.666979999995,2448017.0
USA,United States,2006,1796.0,57453.98395,2426299.0
USA,United States,2007,1795.0,58597.293170000004,2423895.0
USA,United States,2008,1787.0,58400.86926,2471984.0
USA,United States,2009,1762.0,58872.607560000004,2437942.0
USA,United States,2010,1773.0,59476.636029999994,2469288.0
USA,United States,2011,1780.0,59562.474689999995,2515458.0
USA,United States,2012,1783.0,60047.20521,2543279.0
USA,United States,2013,1781.0,59765.75719,2596993.0
USA,United States,2014,1784.0,60617.97202000001,2626418.0
USA,United States,2015,1785.0,62106.295229999996,2712630.0
USA,United States,2016,1781.0,62153.12401,2744248.0
USA,United States,2017,1780.0,62727.43595,
USA,United States,2018,1786.0,63093.01464,
OECD,OECD countries,2000,1804.0,,
OECD,OECD countries,2001,1790.0,,
OECD,OECD countries,2002,1786.0,,
OECD,OECD countries,2003,1777.0,,
OECD,OECD countries,2004,1776.0,,
OECD,OECD countries,2005,1772.0,,
OECD,OECD countries,2006,1770.0,,
OECD,OECD countries,2007,1768.0,,
OECD,OECD countries,2008,1766.0,,
OECD,OECD countries,2009,1731.0,,
OECD,OECD countries,2010,1751.0,,
OECD,OECD countries,2011,1750.0,,
OECD,OECD countries,2012,1748.0,,
OECD,OECD countries,2013,1744.0,,
OECD,OECD countries,2014,1742.0,,
OECD,OECD countries,2015,1743.0,,
OECD,OECD countries,2016,1743.0,,
OECD,OECD countries,2017,1737.0,,
OECD,OECD countries,2018,1734.0,,
ISR,Israel,2000,2032.9,37840.745989999996,37688.0
ISR,Israel,2001,1996.14,38460.463939999994,37187.0
ISR,Israel,2002,2014.29,36958.59111,38301.0
ISR,Israel,2003,1997.45,35677.08693,38359.0
ISR,Israel,2004,1974.97,35130.10037,37757.0
ISR,Israel,2005,1966.42,35201.947,38897.0
ISR,Israel,2006,1955.03,36326.00325,38564.0
ISR,Israel,2007,1966.46,37025.38673,39948.0
ISR,Israel,2008,1963.32,36073.73109,39241.0
ISR,Israel,2009,1962.48,35294.28901,38595.0
ISR,Israel,2010,1956.53,34997.43567,39418.0
ISR,Israel,2011,1947.24,35274.91537,40668.0
ISR,Israel,2012,1918.77,33166.65214,41877.0
ISR,Israel,2013,1908.2,33428.18043,41479.0
ISR,Israel,2014,1894.53,33516.041619999996,42170.0
ISR,Israel,2015,1895.41,34481.718069999995,44266.0
ISR,Israel,2016,1922.08,35701.37218,43966.0
ISR,Israel,2017,1917.98,36678.690689999996,
ISR,Israel,2018,1910.13,37655.30111,
CHL,Chile,2000,2263.0,20309.975580000002,78814.0
CHL,Chile,2001,2242.0,20951.916830000002,81871.0
CHL,Chile,2002,2250.0,21222.44025,81079.0
CHL,Chile,2003,2235.0,21972.45948,83672.0
CHL,Chile,2004,2232.0,22524.874490000002,86138.0
CHL,Chile,2005,2157.0,22351.60597,86102.0
CHL,Chile,2006,2165.0,21889.12202,85639.0
CHL,Chile,2007,2128.0,21967.17702,89558.0
CHL,Chile,2008,2095.0,22409.14698,86783.0
CHL,Chile,2009,2074.0,24037.70335,91965.0
CHL,Chile,2010,2070.0,24960.82175,97930.0
CHL,Chile,2011,2047.0,25106.35365,94985.0
CHL,Chile,2012,2024.0,25914.9183,98711.0
CHL,Chile,2013,2015.0,26583.78961,99751.0
CHL,Chile,2014,1990.0,26803.54588,101943.0
CHL,Chile,2015,1988.0,26759.21876,103308.0
CHL,Chile,2016,1974.0,27655.34315,104000.0
CHL,Chile,2017,1954.0,26766.6161,
CHL,Chile,2018,1941.0,27124.71115,
SVN,Slovenia,2000,1710.1,27455.11107,18588.0
SVN,Slovenia,2001,1695.9,28565.56827,18508.0
SVN,Slovenia,2002,1720.5,28647.248069999998,18701.0
SVN,Slovenia,2003,1723.8,29246.65239,19451.0
SVN,Slovenia,2004,1736.6,30686.586219999997,18523.0
SVN,Slovenia,2005,1696.6,31855.156030000002,18825.0
SVN,Slovenia,2006,1667.5,32888.12991,18180.0
SVN,Slovenia,2007,1654.9,33606.50859,18584.0
SVN,Slovenia,2008,1673.7,34097.16827,18308.0
SVN,Slovenia,2009,1678.8,34435.849819999996,18750.0
SVN,Slovenia,2010,1680.1,35473.81452,18609.0
SVN,Slovenia,2011,1663.2,35340.76447,18699.0
SVN,Slovenia,2012,1644.6,34227.66164,19257.0
SVN,Slovenia,2013,1662.4,33748.93018,19334.0
SVN,Slovenia,2014,1681.9,34282.48437,18886.0
SVN,Slovenia,2015,1687.8,34933.647730000004,19834.0
SVN,Slovenia,2016,1652.9,36153.4369,
SVN,Slovenia,2017,1621.7,36883.00552,
SVN,Slovenia,2018,1602.8,37321.90867,
EST,Estonia,2000,1909.0,12622.75554,18403.0
EST,Estonia,2001,1902.0,13117.57907,18516.0
EST,Estonia,2002,1904.0,13913.5684,18355.0
EST,Estonia,2003,1910.0,15170.477809999998,18152.0
EST,Estonia,2004,1918.0,16305.122780000002,17685.0
EST,Estonia,2005,1939.0,17284.88486,17316.0
EST,Estonia,2006,1932.0,18747.92154,17316.0
EST,Estonia,2007,1929.0,21771.87338,17409.0
EST,Estonia,2008,1900.0,22052.77515,16675.0
EST,Estonia,2009,1769.0,21304.52784,16099.0
EST,Estonia,2010,1810.0,21192.42548,15781.0
EST,Estonia,2011,1852.0,20320.643659999998,15204.0
EST,Estonia,2012,1820.0,21161.9214,15473.0
EST,Estonia,2013,1801.0,21459.59192,15374.0
EST,Estonia,2014,1795.0,22570.84161,15470.0
EST,Estonia,2015,1788.0,23436.37665,15243.0
EST,Estonia,2016,1791.0,24691.29576,15383.0
EST,Estonia,2017,1792.0,25368.05135,
EST,Estonia,2018,1748.0,26898.103460000002,
RUS,Russian Federation,2000,1982.0,,
RUS,Russian Federation,2001,1980.0,,
RUS,Russian Federation,2002,1982.0,,
RUS,Russian Federation,2003,1993.0,,
RUS,Russian Federation,2004,1993.0,,
RUS,Russian Federation,2005,1989.0,,
RUS,Russian Federation,2006,1998.0,,
RUS,Russian Federation,2007,1999.0,,
RUS,Russian Federation,2008,1997.0,,
RUS,Russian Federation,2009,1974.0,,
RUS,Russian Federation,2010,1976.0,,
RUS,Russian Federation,2011,1979.0,,
RUS,Russian Federation,2012,1982.0,,
RUS,Russian Federation,2013,1980.0,,
RUS,Russian Federation,2014,1985.0,,
RUS,Russian Federation,2015,1978.0,,
RUS,Russian Federation,2016,1974.0,,
RUS,Russian Federation,2017,1980.0,,
RUS,Russian Federation,2018,1972.0,,
LTU,Lithuania,2000,1610.0,11359.15675,38919.0
LTU,Lithuania,2001,1597.0,12012.411540000001,40399.0
LTU,Lithuania,2002,1572.0,12829.28546,41072.0
LTU,Lithuania,2003,1558.0,14208.360009999999,40990.0
LTU,Lithuania,2004,1638.0,15709.2157,41340.0
LTU,Lithuania,2005,1639.0,17353.84188,43799.0
LTU,Lithuania,2006,1635.0,19869.7781,44813.0
LTU,Lithuania,2007,1660.0,21165.72425,45624.0
LTU,Lithuania,2008,1686.0,21493.52742,43832.0
LTU,Lithuania,2009,1625.0,18767.886580000002,42032.0
LTU,Lithuania,2010,1643.0,18835.71381,42120.0
LTU,Lithuania,2011,1621.0,19367.181790000002,41037.0
LTU,Lithuania,2012,1620.0,19671.09994,40938.0
LTU,Lithuania,2013,1606.0,20471.73064,41511.0
LTU,Lithuania,2014,1599.0,21367.70885,40252.0
LTU,Lithuania,2015,1622.0,22741.69964,41776.0
LTU,Lithuania,2016,1644.0,23933.49993,41106.0
LTU,Lithuania,2017,1608.0,25207.13875,40142.0
LTU,Lithuania,2018,1616.0,26429.22819,
LVA,Latvia,2000,1775.0,10987.35197,32205.0
LVA,Latvia,2001,1785.0,11359.35884,32991.0
LVA,Latvia,2002,1741.0,11003.519620000001,32498.0
LVA,Latvia,2003,1732.0,11819.29023,32437.0
LVA,Latvia,2004,1687.0,12795.57483,32041.0
LVA,Latvia,2005,1712.0,14893.407680000002,32777.0
LVA,Latvia,2006,1713.0,16439.202559999998,33115.0
LVA,Latvia,2007,1687.0,20280.41977,33056.0
LVA,Latvia,2008,1799.0,20949.70037,31031.0
LVA,Latvia,2009,1754.0,18917.12057,29937.0
LVA,Latvia,2010,1738.0,18174.85913,30079.0
LVA,Latvia,2011,1753.0,17541.35961,28550.0
LVA,Latvia,2012,1738.0,18272.87632,29054.0
LVA,Latvia,2013,1732.0,19151.964659999998,28687.0
LVA,Latvia,2014,1741.0,20429.452080000003,28201.0
LVA,Latvia,2015,1708.0,22295.314730000002,28185.0
LVA,Latvia,2016,1709.0,23591.68628,
LVA,Latvia,2017,1695.0,24633.97485,
LVA,Latvia,2018,1699.0,25586.197969999997,
CRI,Costa Rica,2000,2362.0,,14944.0
CRI,Costa Rica,2001,2329.0,,15609.0
CRI,Costa Rica,2002,2357.0,,15004.0
CRI,Costa Rica,2003,2350.0,,15800.0
CRI,Costa Rica,2004,2369.0,,16475.0
CRI,Costa Rica,2005,2352.0,,15519.0
CRI,Costa Rica,2006,2360.0,,16641.0
CRI,Costa Rica,2007,2387.0,,15938.0
CRI,Costa Rica,2008,2392.0,,16478.0
CRI,Costa Rica,2009,2348.0,,16652.0
CRI,Costa Rica,2010,2243.1,,18988.0
CRI,Costa Rica,2011,2285.3,,18458.0
CRI,Costa Rica,2012,2233.4,,18913.0
CRI,Costa Rica,2013,2140.6,,19365.0
CRI,Costa Rica,2014,2121.7,,20290.0
CRI,Costa Rica,2015,2148.2,,
CRI,Costa Rica,2016,2204.7,,
CRI,Costa Rica,2017,2178.9,,
CRI,Costa Rica,2018,2121.0,,
KOR,Korea,2000,,29081.61539,246163.0
KOR,Korea,2001,,29667.3009,241521.0
KOR,Korea,2002,,30700.383869999998,245317.0
KOR,Korea,2003,,31791.73083,244506.0
KOR,Korea,2004,,32706.84627,244217.0
KOR,Korea,2005,,33648.06616,243883.0
KOR,Korea,2006,,33988.40175,242266.0
KOR,Korea,2007,,34583.1133,244874.0
TUR,Turkey,2016,,,420124.0
BRA,Brazil,2000,,,945439.0
BRA,Brazil,2001,,,960735.0
BRA,Brazil,2002,,,982126.0
BRA,Brazil,2003,,,1001497.0
BRA,Brazil,2004,,,1023372.0
BRA,Brazil,2005,,,1006375.0
BRA,Brazil,2006,,,1031220.0
BRA,Brazil,2007,,,1047309.0
BRA,Brazil,2008,,,1074686.0
BRA,Brazil,2009,,,1102614.0
BRA,Brazil,2010,,,1136514.0
BRA,Brazil,2011,,,1169966.0
BRA,Brazil,2012,,,1180628.0
BRA,Brazil,2013,,,1209863.0
BRA,Brazil,2014,,,1226284.0
BRA,Brazil,2015,,,1263500.0
RUS,Russia,2000,,,2225332.0
RUS,Russia,2001,,,2254856.0
RUS,Russia,2002,,,2332272.0
RUS,Russia,2003,,,2358632.0
RUS,Russia,2004,,,2295402.0
RUS,Russia,2005,,,2303935.0
RUS,Russia,2006,,,2166703.0
RUS,Russia,2007,,,2080445.0
RUS,Russia,2008,,,2075954.0
RUS,Russia,2009,,,2010543.0
RUS,Russia,2010,,,2028516.0
RUS,Russia,2011,,,1925720.0
RUS,Russia,2012,,,1906335.0
RUS,Russia,2013,,,1871809.0
RUS,Russia,2014,,,1878039.0
ZAF,South Africa,2000,,,412060.0
ZAF,South Africa,2001,,,451279.0
ZAF,South Africa,2002,,,497577.0
ZAF,South Africa,2003,,,550903.0
ZAF,South Africa,2004,,,565953.0
ZAF,South Africa,2005,,,589534.0
ZAF,South Africa,2006,,,605480.0
ZAF,South Africa,2007,,,600155.0
ZAF,South Africa,2008,,,591285.0
ZAF,South Africa,2009,,,571620.0
ZAF,South Africa,2010,,,542785.0
ZAF,South Africa,2011,,,512378.0
ZAF,South Africa,2012,,,488968.0
ZAF,South Africa,2013,,,456935.0
ZAF,South Africa,2014,,,451439.0
ZAF,South Africa,2015,,,458243.0
COL,Colombia,2000,,,187246.0
COL,Colombia,2001,,,191350.0
COL,Colombia,2002,,,192030.0
COL,Colombia,2003,,,189770.0
COL,Colombia,2004,,,188754.0
COL,Colombia,2005,,,188812.0
COL,Colombia,2006,,,192783.0
COL,Colombia,2007,,,191634.0
COL,Colombia,2008,,,196718.0
COL,Colombia,2009,,,196681.0
COL,Colombia,2010,,,200512.0
COL,Colombia,2011,,,195798.0
COL,Colombia,2012,,,199709.0
COL,Colombia,2013,,,203058.0
COL,Colombia,2014,,,210028.0
COL,Colombia,2015,,,219432.0
