COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual)
AUS,Australia,2010,1699.94,52252.979439999996
AUS,Australia,2011,1699.92,53905.77401
AUS,Australia,2012,1692.55,54226.18947999999
AUS,Australia,2013,1689.38,53977.41911
AUS,Australia,2014,1683.27,54391.75744
AUS,Australia,2015,1683.55,53946.26631
AUS,Australia,2016,1673.4,53971.597460000005
AUS,Australia,2017,1674.9,53507.28546
AUT,Austria,2010,1557.0,50096.714439999996
AUT,Austria,2011,1562.0,49578.9147
AUT,Austria,2012,1540.0,49835.11427
AUT,Austria,2013,1525.0,49896.49234
AUT,Austria,2014,1516.0,50082.84861
AUT,Austria,2015,1500.0,50373.81106
AUT,Austria,2016,1512.0,50906.020280000004
AUT,Austria,2017,1511.0,50851.39713
BEL,Belgium,2010,1546.0,50872.487
BEL,Belgium,2011,1560.0,51204.9434
BEL,Belgium,2012,1560.0,51550.58104
BEL,Belgium,2013,1558.0,52221.578030000004
BEL,Belgium,2014,1545.0,52514.32761
BEL,Belgium,2015,1545.0,52120.10915
BEL,Belgium,2016,1545.0,51951.715
BEL,Belgium,2017,1545.0,51736.09972
CAN,Canada,2010,1715.0,45502.56024
CAN,Canada,2011,1713.0,46203.40255
CAN,Canada,2012,1722.0,47275.53082
CAN,Canada,2013,1716.0,48191.59919
CAN,Canada,2014,1710.0,48717.527760000004
CAN,Canada,2015,1712.0,48979.30251
CAN,Canada,2016,1706.0,47793.36844
CAN,Canada,2017,1695.0,48247.09108
CZE,Czech Republic,2010,1800.0,22944.4926
CZE,Czech Republic,2011,1806.0,23101.99456
CZE,Czech Republic,2012,1776.0,23089.6502
CZE,Czech Republic,2013,1763.0,22846.099459999998
CZE,Czech Republic,2014,1777.0,23324.261319999998
CZE,Czech Republic,2015,1756.0,23962.81256
CZE,Czech Republic,2016,1779.0,24778.2455
CZE,Czech Republic,2017,1784.0,25804.10436
DNK,Denmark,2010,1422.0,52263.8567
DNK,Denmark,2011,1437.0,51993.258839999995
DNK,Denmark,2012,1423.0,51923.10356
DNK,Denmark,2013,1426.0,52260.70461
DNK,Denmark,2014,1414.0,53260.744060000005
DNK,Denmark,2015,1407.0,54196.8862
DNK,Denmark,2016,1412.0,55032.34644
DNK,Denmark,2017,1405.0,54722.5035
FIN,Finland,2010,1592.0,43535.17087
FIN,Finland,2011,1587.0,43684.94029
FIN,Finland,2012,1575.0,43715.15615
FIN,Finland,2013,1565.0,43245.26697
FIN,Finland,2014,1562.0,43229.09351
FIN,Finland,2015,1563.0,43617.28448
FIN,Finland,2016,1560.0,43968.93163
FIN,Finland,2017,1556.0,43801.86904
FRA,France,2010,1540.0,42435.38246
FRA,France,2011,1546.0,42370.29756
FRA,France,2012,1541.0,42654.36826
FRA,France,2013,1526.0,43012.54154
FRA,France,2014,1518.0,43308.84587
FRA,France,2015,1519.0,43731.65687
FRA,France,2016,1526.0,44220.25463
FRA,France,2017,1522.0,44469.020580000004
DEU,Germany,2010,1389.9,44451.21699
DEU,Germany,2011,1392.8,45209.41817
DEU,Germany,2012,1375.0,45725.15818
DEU,Germany,2013,1362.7,46277.16566
DEU,Germany,2014,1366.9,47010.04711
DEU,Germany,2015,1369.8,48034.59454
DEU,Germany,2016,1362.8,48709.63953
DEU,Germany,2017,1360.4,49161.09391
GRC,Greece,2010,1932.0,31510.05117
GRC,Greece,2011,1949.0,29445.28719
GRC,Greece,2012,1966.0,28108.0392
GRC,Greece,2013,1970.0,26289.756230000003
GRC,Greece,2014,1933.0,26803.24237
GRC,Greece,2015,1943.0,26585.0661
GRC,Greece,2016,1942.0,26506.09185
GRC,Greece,2017,1956.0,26486.310019999997
HUN,Hungary,2010,1777.0,21617.7991
HUN,Hungary,2011,1769.9,21604.24091
HUN,Hungary,2012,1750.0,20852.274080000003
HUN,Hungary,2013,1744.6,20893.44423
HUN,Hungary,2014,1751.7,20707.45771
HUN,Hungary,2015,1748.7,20150.148240000002
HUN,Hungary,2016,1760.0,21077.55692
HUN,Hungary,2017,1741.3,22492.67745
ISL,Iceland,2010,1514.0,45951.92989
ISL,Iceland,2011,1524.0,48156.17722
ISL,Iceland,2012,1510.0,48049.69794
ISL,Iceland,2013,1510.0,48858.15059
ISL,Iceland,2014,1503.0,49471.50415
ISL,Iceland,2015,1504.0,53261.71745
ISL,Iceland,2016,1494.0,58131.149529999995
ISL,Iceland,2017,1483.0,64415.10845
IRL,Ireland,2010,1702.0,48697.70833
IRL,Ireland,2011,1702.0,48764.65687
IRL,Ireland,2012,1707.0,48153.35402
IRL,Ireland,2013,1720.0,46724.76237
IRL,Ireland,2014,1731.0,46314.707930000004
IRL,Ireland,2015,1741.0,47244.93408
IRL,Ireland,2016,1739.0,47709.02246
IRL,Ireland,2017,1738.0,47302.779160000006
ITA,Italy,2010,1777.3,39051.105339999995
ITA,Italy,2011,1773.3,38438.74635
ITA,Italy,2012,1734.2,37279.12066
ITA,Italy,2013,1719.5,37338.27385
ITA,Italy,2014,1717.1,37481.9106
ITA,Italy,2015,1718.0,37793.07676
ITA,Italy,2016,1721.7,38059.94919
ITA,Italy,2017,1719.0,37696.6486
JPN,Japan,2010,1733.0,40175.19119
JPN,Japan,2011,1728.0,41082.06978
JPN,Japan,2012,1745.0,40380.393280000004
JPN,Japan,2013,1734.0,40352.78811
JPN,Japan,2014,1729.0,39633.251939999995
JPN,Japan,2015,1719.0,39591.57293
JPN,Japan,2016,1714.0,40304.55493
JPN,Japan,2017,1709.0,40510.00917
KOR,Korea,2010,2163.0,34955.58457
KOR,Korea,2011,2136.0,35294.648369999995
KOR,Korea,2012,2119.0,34864.203089999995
KOR,Korea,2013,2106.0,35528.79125
KOR,Korea,2014,2076.0,35321.09682
KOR,Korea,2015,2083.0,35949.114160000005
KOR,Korea,2016,2068.0,37165.05484
KOR,Korea,2017,2018.0,37849.39327
LUX,Luxembourg,2010,1517.0,62131.56237000001
LUX,Luxembourg,2011,1515.0,61213.34102000001
LUX,Luxembourg,2012,1508.0,60707.10622
LUX,Luxembourg,2013,1503.0,61305.47504
LUX,Luxembourg,2014,1506.0,63606.706139999995
LUX,Luxembourg,2015,1514.0,64551.54632
LUX,Luxembourg,2016,1513.0,64453.11023
LUX,Luxembourg,2017,1507.0,65890.9974
MEX,Mexico,2010,2150.0,16183.105609999999
MEX,Mexico,2011,2121.0,16328.236640000001
MEX,Mexico,2012,2120.0,16050.29823
MEX,Mexico,2013,2136.0,16050.284290000001
MEX,Mexico,2014,2134.0,16028.6024
MEX,Mexico,2015,2140.0,16231.22549
MEX,Mexico,2016,2146.0,16135.64876
MEX,Mexico,2017,2148.0,16110.176319999999
NLD,Netherlands,2010,1420.0,54477.2274
NLD,Netherlands,2011,1420.0,54140.29075
NLD,Netherlands,2012,1411.0,54362.195470000006
NLD,Netherlands,2013,1415.0,54554.965339999995
NLD,Netherlands,2014,1426.0,54260.74479
NLD,Netherlands,2015,1426.0,54892.58871
NLD,Netherlands,2016,1438.0,55131.595
NLD,Netherlands,2017,1435.0,54633.796270000006
NZL,New Zealand,2010,1755.0,38802.78948
NZL,New Zealand,2011,1746.0,38803.58733
NZL,New Zealand,2012,1734.0,39621.7161
NZL,New Zealand,2013,1752.0,39110.6008
NZL,New Zealand,2014,1762.0,39419.08318
NZL,New Zealand,2015,1757.0,40255.73092
NZL,New Zealand,2016,1752.0,41765.002810000005
NZL,New Zealand,2017,1753.0,41953.58622
NOR,Norway,2010,1415.3,46594.18608
NOR,Norway,2011,1421.1,48180.02342
NOR,Norway,2012,1419.7,49465.068510000005
NOR,Norway,2013,1408.1,50448.61278
NOR,Norway,2014,1426.9,50749.04262
NOR,Norway,2015,1423.9,50994.10315
NOR,Norway,2016,1424.4,50207.05948
NOR,Norway,2017,1419.1,50412.12115
POL,Poland,2010,1834.0,23652.32651
POL,Poland,2011,1829.0,23654.20807
POL,Poland,2012,1824.0,23445.50559
POL,Poland,2013,1821.0,23712.96247
POL,Poland,2014,1827.0,24195.84838
POL,Poland,2015,1834.0,24726.12542
POL,Poland,2016,1836.0,25956.36995
POL,Poland,2017,1815.0,27057.957089999996
PRT,Portugal,2010,1735.0,27080.30185
PRT,Portugal,2011,1714.0,26436.50017
PRT,Portugal,2012,1698.0,25294.18881
PRT,Portugal,2013,1707.0,25813.87846
PRT,Portugal,2014,1714.0,25360.07583
PRT,Portugal,2015,1722.0,25307.314619999997
PRT,Portugal,2016,1725.0,25349.78641
PRT,Portugal,2017,1727.0,25288.7215
SVK,Slovak Republic,2010,1805.0,22359.7881
SVK,Slovak Republic,2011,1793.0,22161.14524
SVK,Slovak Republic,2012,1789.0,21916.80509
SVK,Slovak Republic,2013,1772.0,22082.48241
SVK,Slovak Republic,2014,1760.0,22510.86712
SVK,Slovak Republic,2015,1754.0,23343.97434
SVK,Slovak Republic,2016,1740.0,24053.05324
SVK,Slovak Republic,2017,1714.0,24719.50495
ESP,Spain,2010,1710.4,41034.3406
ESP,Spain,2011,1715.5,40452.8193
ESP,Spain,2012,1701.2,39301.60485
ESP,Spain,2013,1693.5,39391.29533
ESP,Spain,2014,1694.6,39397.76735
ESP,Spain,2015,1699.6,40087.62768
ESP,Spain,2016,1701.5,39860.34697
ESP,Spain,2017,1690.2,39073.25047
SWE,Sweden,2010,1494.0,40175.42479
SWE,Sweden,2011,1491.0,40680.56341
SWE,Sweden,2012,1478.0,41581.03568
SWE,Sweden,2013,1470.0,42015.76064
SWE,Sweden,2014,1470.0,42444.08578
SWE,Sweden,2015,1471.0,43159.39234
SWE,Sweden,2016,1482.0,43735.727419999996
SWE,Sweden,2017,1470.0,43987.49039
CHE,Switzerland,2010,1624.3,62002.87617
CHE,Switzerland,2011,1619.3,62107.93486
CHE,Switzerland,2012,1603.2,63207.26367000001
CHE,Switzerland,2013,1582.9,64180.862389999995
CHE,Switzerland,2014,1575.3,64284.54003
CHE,Switzerland,2015,1589.5,64222.839420000004
CHE,Switzerland,2016,1589.7,64063.942489999994
CHE,Switzerland,2017,1570.0,63899.88385
GBR,United Kingdom,2010,1506.0,45526.55342
GBR,United Kingdom,2011,1518.0,44375.68743
GBR,United Kingdom,2012,1531.0,44006.8491
GBR,United Kingdom,2013,1541.0,44141.38003
GBR,United Kingdom,2014,1547.0,43782.31312
GBR,United Kingdom,2015,1531.0,44125.736189999996
GBR,United Kingdom,2016,1545.0,44465.81826
GBR,United Kingdom,2017,1543.0,44589.7799
USA,United States,2010,1773.0,59476.636029999994
USA,United States,2011,1780.0,59562.474689999995
USA,United States,2012,1783.0,60047.20521
USA,United States,2013,1781.0,59765.75719
USA,United States,2014,1784.0,60617.97202000001
USA,United States,2015,1785.0,62106.295229999996
USA,United States,2016,1781.0,62153.12401
USA,United States,2017,1780.0,62727.43595
ISR,Israel,2010,1956.53,34997.43567
ISR,Israel,2011,1947.24,35274.91537
ISR,Israel,2012,1918.77,33166.65214
ISR,Israel,2013,1908.2,33428.18043
ISR,Israel,2014,1894.53,33516.041619999996
ISR,Israel,2015,1895.41,34481.718069999995
ISR,Israel,2016,1922.08,35701.37218
ISR,Israel,2017,1917.98,36678.690689999996
CHL,Chile,2010,2070.0,24960.82175
CHL,Chile,2011,2047.0,25106.35365
CHL,Chile,2012,2024.0,25914.9183
CHL,Chile,2013,2015.0,26583.78961
CHL,Chile,2014,1990.0,26803.54588
CHL,Chile,2015,1988.0,26759.21876
CHL,Chile,2016,1974.0,27655.34315
CHL,Chile,2017,1954.0,26766.6161
SVN,Slovenia,2010,1680.1,35473.81452
SVN,Slovenia,2011,1663.2,35340.76447
SVN,Slovenia,2012,1644.6,34227.66164
SVN,Slovenia,2013,1662.4,33748.93018
SVN,Slovenia,2014,1681.9,34282.48437
SVN,Slovenia,2015,1687.8,34933.647730000004
SVN,Slovenia,2016,1652.9,36153.4369
SVN,Slovenia,2017,1621.7,36883.00552
EST,Estonia,2010,1810.0,21192.42548
EST,Estonia,2011,1852.0,20320.643659999998
EST,Estonia,2012,1820.0,21161.9214
EST,Estonia,2013,1801.0,21459.59192
EST,Estonia,2014,1795.0,22570.84161
EST,Estonia,2015,1788.0,23436.37665
EST,Estonia,2016,1791.0,24691.29576
EST,Estonia,2017,1792.0,25368.05135
LTU,Lithuania,2010,1643.0,18835.71381
LTU,Lithuania,2011,1621.0,19367.181790000002
LTU,Lithuania,2012,1620.0,19671.09994
LTU,Lithuania,2013,1606.0,20471.73064
LTU,Lithuania,2014,1599.0,21367.70885
LTU,Lithuania,2015,1622.0,22741.69964
LTU,Lithuania,2016,1644.0,23933.49993
LTU,Lithuania,2017,1608.0,25207.13875
LVA,Latvia,2010,1738.0,18174.85913
LVA,Latvia,2011,1753.0,17541.35961
LVA,Latvia,2012,1738.0,18272.87632
LVA,Latvia,2013,1732.0,19151.964659999998
LVA,Latvia,2014,1741.0,20429.452080000003
LVA,Latvia,2015,1708.0,22295.314730000002
LVA,Latvia,2016,1709.0,23591.68628
LVA,Latvia,2017,1695.0,24633.97485
